group_id,model,target_UTS,eval_idx,loss
27,baseline,227.66024534236854,2,252.0432828466789
27,baseline,227.66024534236854,3,252.04328293771601
27,baseline,227.66024534236854,4,190.67510857180065
27,baseline,227.66024534236854,5,190.67510850639613
27,baseline,227.66024534236854,6,190.67510857883042
27,baseline,227.66024534236854,7,66.8843187887205
27,baseline,227.66024534236854,8,66.88431877168166
27,baseline,227.66024534236854,9,66.8843187924005
27,baseline,227.66024534236854,10,52.35876412375583
27,baseline,227.66024534236854,11,52.35876411617447
27,baseline,227.66024534236854,12,52.35876412694024
27,baseline,227.66024534236854,13,46.28566325983543
27,baseline,227.66024534236854,14,46.28566325833107
27,baseline,227.66024534236854,15,46.285663262815156
27,baseline,227.66024534236854,16,43.60289347770765
27,baseline,227.66024534236854,17,43.60289347891403
27,baseline,227.66024534236854,18,43.60289348074612
27,baseline,227.66024534236854,19,37.42763796107124
27,baseline,227.66024534236854,20,37.42763796527771
27,baseline,227.66024534236854,21,37.42763796441597
30,physics,225.73580124858282,1,10184.906977040673
30,physics,225.73580124858282,2,10184.906983541752
30,physics,225.73580124858282,3,10184.906977314678
30,physics,225.73580124858282,4,887.3430677985393
30,physics,225.73580124858282,5,887.343067531074
30,physics,225.73580124858282,6,887.3430677982024
30,physics,225.73580124858282,7,655.6051294881153
30,physics,225.73580124858282,8,655.6051292210027
30,physics,225.73580124858282,9,655.6051294878271
30,physics,225.73580124858282,10,36.145271810061914
30,physics,225.73580124858282,11,36.14527174138254
30,physics,225.73580124858282,12,36.145271809519905
30,physics,225.73580124858282,13,5.616128517207532
30,physics,225.73580124858282,14,5.616128542730969
30,physics,225.73580124858282,15,5.616128517527871
30,physics,225.73580124858282,16,0.02283310840624011
30,physics,225.73580124858282,17,0.022833110115384258
30,physics,225.73580124858282,18,0.02283310843347709
30,physics,225.73580124858282,19,0.00010150974305024413
30,physics,225.73580124858282,20,0.0001015096299986522
30,physics,225.73580124858282,21,0.0001015097414609765
30,baseline,225.73580124858282,1,194.64231528582448
30,baseline,225.73580124858282,2,194.6423152134558
30,baseline,225.73580124858282,3,194.64231529345756
30,baseline,225.73580124858282,4,147.0020246293427
30,baseline,225.73580124858282,5,147.00202457101756
30,baseline,225.73580124858282,6,147.00202463560888
30,baseline,225.73580124858282,7,43.05137077171117
30,baseline,225.73580124858282,8,43.051370756391435
30,baseline,225.73580124858282,9,43.05137077465428
30,baseline,225.73580124858282,10,30.47942137424617
30,baseline,225.73580124858282,11,30.479421366809838
30,baseline,225.73580124858282,12,30.47942137657096
30,baseline,225.73580124858282,13,24.597780023480706
30,baseline,225.73580124858282,14,24.597780021420427
30,baseline,225.73580124858282,15,24.597780025649246
30,baseline,225.73580124858282,16,22.51386708003868
30,baseline,225.73580124858282,17,22.513867080197542
30,baseline,225.73580124858282,18,22.513867082165383
30,baseline,225.73580124858282,19,19.60345895732391
30,baseline,225.73580124858282,20,19.603458959460912
30,baseline,225.73580124858282,21,19.603458959520307
